,Unnamed: 0,obs_1_in_lawn,obs_1_x,obs_1_y,obs_1_t,obs_1_z,obs_1_speed,obs_4_in_lawn,obs_4_x,obs_4_y,obs_4_t,obs_4_z,obs_4_speed,obs_5_in_lawn,obs_5_x,obs_5_y,obs_1_average_speed,obs_1_total_distance,obs_4_average_speed,obs_4_total_distance,obs_5_total_distance
94,95,True,560.862562435676,332.993473313465,94.0,0.0,652.266408157953,False,492.40086385731,477.833511130828,94.0,0.0,686.1366300432,True,585.298007478166,439.514411682104,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
95,96,True,559.043177005917,332.243811479725,95.0,0.0,650.319324657852,False,492.366791114734,479.265357394981,95.0,0.0,687.110136580417,True,586.311766750005,438.166501276476,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
96,97,True,557.031512644356,331.295197169193,96.0,0.0,648.105403268815,False,492.377233479231,480.005088713211,96.0,0.0,687.633787156535,True,587.144284927427,436.54075384261694,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
97,98,True,554.105244696166,330.317105357743,97.0,0.0,645.090700825641,False,492.332013821636,481.316708701165,97.0,0.0,688.51767290941,True,587.797123403877,435.275592532518,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
98,99,True,552.012923932143,329.564570529546,98.0,0.0,642.908293877469,False,492.623638242323,482.740139715381,98.0,0.0,689.721749292806,True,588.761570524632,434.456052611796,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
99,100,True,550.837726325335,329.200469937134,99.0,0.0,641.712669463596,False,492.80085583323,483.87634296389297,99.0,0.0,690.643901580312,True,589.487537161519,432.69759018278,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
100,101,False,549.086523618055,328.174294994653,100.0,0.0,639.68302956558,False,492.764600367237,484.910317440166,100.0,0.0,691.342872484418,True,590.131966453705,430.627620970334,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
101,102,False,545.715496768313,325.724645095142,101.0,0.0,635.53280626215,False,492.950803663197,485.25546145145694,101.0,0.0,691.717686415968,True,590.398237530342,429.700764553757,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
102,103,False,542.938611845588,323.235091774614,102.0,0.0,631.87282010493,False,493.114338627474,486.018734989447,102.0,0.0,692.369815720439,True,590.549883032747,428.988883881604,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
103,104,False,542.128368762488,321.969070076161,103.0,0.0,630.529341349619,False,493.273799726098,486.383758690888,103.0,0.0,692.739635227044,True,589.869518483076,428.100955826895,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
